0;1.5;5.5;0.0959931;0.0261799
1;5.5;3;0.0523599;0.0959931
2;10;0;0;0.174533
3;2.5;8.5;0.148353;0.0436332
4;2.5;11;0.191986;0.0436332
5;0.5;11;0.191986;0.00872665
6;2.5;13;0.226893;0.0436332
7;4;13;0.226893;0.0698132
8;2.5;16;0.279253;0.0436332
9;4;10;0.174533;0.0698132
10;9;12.5;0.218166;0.15708
11;8;14;0.244346;0.139626
12;4.5;6;0.10472;0.0785398
13;7.5;9.5;0.165806;0.1309
14;9.5;9;0.15708;0.165806
15;11.5;8.5;0.148353;0.200713
16;10;6;0.10472;0.174533
17;9;4;0.0698132;0.15708
18;7;5;0.0872665;0.122173
19;8;7;0.122173;0.139626
19;8;7;0.122173;0.139626
